model,n_ratings,train_time,test_time,RMSE,MAE,Spearman,Coverage top 5,Coverage top 10,Coverage top 15,Coverage top 20
baseline,4311,0.0195,0.0391,0.8417,0.6652,0.2624,NA,NA,NA,NA
baseline,13932,0.0581,0.0812,0.8421,0.6589,0.2909,NA,NA,NA,NA
baseline,37100,0.2427,0.2151,0.8431,0.6585,0.2833,NA,NA,NA,NA
baseline,112959,0.9292,0.7792,0.8463,0.6607,0.2854,NA,NA,NA,NA
baseline,187770,1.3984,1.2495,0.8569,0.6718,0.2906,NA,NA,NA,NA
baseline,271422,2.1075,1.8572,0.8581,0.671,0.2971,0.47,0.54,,0.9
KNN-items,4311,0.0073,0.2146,0.5605,0.4222,0.7814,NA,NA,NA,NA
KNN-items,13932,0.0284,0.8665,0.5763,0.4301,0.757,NA,NA,NA,NA
KNN-items,37100,0.06712,2.067,0.5816,0.4376,0.7637,NA,NA,NA,NA
KNN-items,112959,0.2142,7.095,0.5874,0.4434,0.7602,NA,NA,NA,NA
KNN-items,187770,0.4178,12.3242,0.5898,0.447,0.764,NA,NA,NA,NA
KNN-items,271422,0.6645,18.4384,0.5876,0.445,0.7657,0.95,0.97,0.98,1
KNN-users,4311,0.1721,1.797,0.281,0.1934,0.8842,NA,NA,NA,NA
KNN-users,13932,0.817,8.797,0.3341,0.2352,0.8878,NA,NA,NA,NA
KNN-users,37100,3.6851,36.293,0.3514,0.252,0.8931,NA,NA,NA,NA
KNN-users,112959,25.396,234.624,0.3546,0.2564,0.8963,NA,NA,NA,NA
KNN-users,187770,61.696,522.991,0.3676,0.2673,0.8993,NA,NA,NA,NA
KNN-users,271422,114.317,946.773,0.3705,0.2696,0.899,0.94,0.97,0.97,1
SVD_suprise,4311,0.99526,0.30649,0.2795,0.2156,0.874699,NA,NA,NA,NA
SVD_suprise,13932,3.26437,0.6046,0.3475,0.2645,0.868814,NA,NA,NA,NA
SVD_suprise,37100,8.65052,1.369342,0.4013,0.3054,0.86866,NA,NA,NA,NA
SVD_suprise,112959,28.25196,4.6749,0.4522,0.3447,0.86227,NA,NA,NA,NA
SVD_suprise,187770,48.53,7.16547036,0.4753,0.3645,0.858353,NA,NA,NA,NA
SVD_suprise,271422,69.292608,9.739058,0.4972,0.3824,0.8497452,,,,
NMF_surprise,4311,0.86742019,0.2975862,0.3444,0.2522,0.87274,NA,NA,NA,NA
NMF_surprise,13932,2.8277,0.601149,0.4483,0.3332,0.8543,NA,NA,NA,NA
NMF_surprise,37100,7.448755025,1.3906838,0.5244,0.3957,0.83533,NA,NA,NA,NA
NMF_surprise,112959,22.329591,3.9863121,0.5798,0.4406,0.807823,NA,NA,NA,NA
NMF_surprise,187770,38.315234,7.495643,0.6054,0.4629,0.7935101,NA,NA,NA,NA
NMF_surprise,271422,60.13349,8.9307868,0.6244,0.4787,0.7748263,,,,
Matrix Factorization,4311,0.088244,0.000046,0.945365,0.730837,-0.013541,NA,NA,NA,NA
Matrix Factorization,13932,0.135607,0.000145,0.970255,0.742816,-0.014656,NA,NA,NA,NA
Matrix Factorization,37100,0.185009,0.000435,0.956669,0.740222,-0.002961,NA,NA,NA,NA
Matrix Factorization,112959,0.443478,0.002242,0.931543,0.722442,-0.01297,NA,NA,NA,NA
Matrix Factorization,187770,0.937093,0.004868,0.944203,0.736918,0.008806,NA,NA,NA,NA
Matrix Factorization,271422,1.130002,0.009279,0.949053,0.739356,-0.003703,0.77,0.88,NA,0.99