user_id,book_id,rating
53425,2,4
53425,4,5
53425,5,4
53425,8,3
53425,13,5
53425,28,5
53425,32,4
53425,36,4
53425,54,5
53425,55,2
53425,70,5
53425,77,5
53425,131,1
53425,158,5
53425,173,4
53425,236,2
53425,248,1
53426,1,5
53426,2,5
53426,3,3
53426,4,4
53426,5,4
53426,7,4
53426,12,2
53426,13,5
53426,18,4
53426,23,5
53426,26,5
53426,29,3
53426,30,5
53426,100,4
53426,106,5
53426,110,5
53426,119,5
53426,120,3
53426,129,4
53426,217,5
53426,303,1
53426,378,3
53426,402,2
53426,514,4
53426,522,4
53426,802,4
53426,916,5
53426,968,5
53427,5,5
53427,7,5
53427,8,5
53427,13,5
53427,19,5
53427,39,4
53427,55,5
53427,70,5
53427,82,5
53427,84,5
53427,92,4
53427,103,5
53427,128,5
53427,142,5
53427,144,4
53427,155,5
53427,180,5
53427,181,5
53427,189,5
53427,217,5
53427,236,5
53427,265,5
53427,285,4
53427,401,4
53427,439,4
53427,440,5
53427,550,5
53427,619,5
53427,765,4
53428,1,4
53428,2,5
53428,3,3
53428,4,5
53428,5,4
53428,6,3
53428,8,3
53428,9,3
53428,10,5
53428,11,5
53428,12,4
53428,13,2
53428,14,3
53428,16,4
53428,17,4
53428,18,5
53428,20,3
53428,21,5
53428,23,5
53428,24,5
53428,25,5
53428,26,4
53428,27,5
53428,28,2
53428,29,3
53428,30,4
53428,31,4
53428,32,3
53428,33,3
53428,34,2
53428,35,4
53428,36,5
53428,38,4
53428,40,3
53428,42,4
53428,43,2
53428,44,3
53428,46,4
53428,49,2
53428,50,4
53428,52,2
53428,54,1
53428,55,2
53428,56,3
53428,57,4
53428,58,3
53428,59,4
53428,60,3
53428,61,3
53428,63,1
53428,65,4
53428,67,4
53428,69,3
53428,70,4
53428,71,3
53428,75,4
53428,76,5
53428,77,4
53428,78,3
53428,85,5
53428,88,3
53428,91,3
53428,92,4
53428,94,5
53428,96,2
53428,98,4
53428,99,2
53428,101,4
53428,104,4
53428,105,3
53428,106,4
53428,113,1
53428,114,3
53428,119,4
53428,120,4
53428,121,3
53428,124,2
53428,125,2
53428,129,4
53428,132,2
53428,139,3
53428,140,3
53428,158,4
53428,160,3
53428,162,2
53428,177,1
53428,179,4
53428,180,2
53428,200,4
53428,217,4
53428,248,3
53428,249,3
53428,264,2
53428,279,3
53428,290,4
53428,291,5
53428,354,3
53428,378,3
53428,407,4
53428,451,4
53428,453,3
53428,457,5
53428,469,4
53428,471,4
53428,500,4
53428,559,3
53428,561,5
53428,587,3
53428,597,4
53428,605,3
53428,662,4
53428,672,4
53428,754,3
53428,760,3
53428,782,1
53428,786,4
53428,819,1
53428,828,4
53428,1039,4
53428,1046,4
53428,1187,5
53428,1370,3
53428,1457,3
53428,1642,4
53428,1938,4
53428,2025,4
53428,2136,3
53428,2252,3
53428,2535,5
53428,2698,1
53428,2793,3
53428,2931,2
53428,3294,5
53428,3596,5
53428,3722,5
53428,3755,3
53428,3966,4
53428,4385,5
53428,5231,3
53428,5311,5
53428,5739,4
53428,8588,4